collection_no,n_occs,early_interval,late_interval,max_ma,min_ma,stg,late_bin,taxon,guild,mid
13597,3,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Ascocerida,demersal,431.775
13603,8,Gorstian,Gorstian,427.4,425.6,26,26,Ascocerida,demersal,425.875
13620,2,Ludfordian,Ludfordian,425.6,423,27,27,Ascocerida,demersal,423.87
13622,4,Ludfordian,Ludfordian,425.6,423,27,27,Ascocerida,demersal,423.87
24336,1,Hirnantian,Hirnantian,445.2,443.8,20,20,Ascocerida,demersal,444.14
24338,1,Gamachian,Gamachian,446,443.8,20,20,Ascocerida,demersal,444.14
87313,1,Porkuni,Porkuni,445.2,443.8,20,20,Ascocerida,demersal,444.14
491,2,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
493,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
542,2,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
3342,1,Rhuddanian,Rhuddanian,443.8,440.8,21,21,Discosorida,demersal,441.78
3343,1,Rhuddanian,Rhuddanian,443.8,440.8,21,21,Discosorida,demersal,441.78
5767,1,Early Givetian,Early Givetian,387.7,385.9,33,33,Discosorida,demersal,382.1
6706,2,Ludfordian,Ludfordian,425.6,423,27,27,Discosorida,demersal,423.87
13597,1,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Discosorida,demersal,431.775
13603,2,Gorstian,Gorstian,427.4,425.6,26,26,Discosorida,demersal,425.875
13874,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
14040,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
14080,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
24416,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
24418,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
24420,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
24423,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
24424,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
24435,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
25015,2,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
26166,1,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Discosorida,demersal,431.775
26168,1,Gorstian,Gorstian,427.4,425.6,26,26,Discosorida,demersal,425.875
26178,1,Gorstian,Gorstian,427.4,425.6,26,26,Discosorida,demersal,425.875
26763,2,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
40704,1,Early Emsian,Early Emsian,407.6,398.3,31,31,Discosorida,demersal,402.405
76216,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
76217,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
79882,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
81892,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
82569,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
85024,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
87313,1,Porkuni,Porkuni,445.2,443.8,20,20,Discosorida,demersal,444.14
89151,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
91631,1,Pragian,Pragian,410.8,407.6,30,30,Discosorida,demersal,411.455
158608,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
158732,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
159987,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
160004,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
160023,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
160026,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
160028,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
188986,1,Emsian,Emsian,407.6,393.3,31,31,Discosorida,demersal,402.405
188987,1,Emsian,Emsian,407.6,393.3,31,31,Discosorida,demersal,402.405
188988,2,Emsian,Emsian,407.6,393.3,31,31,Discosorida,demersal,402.405
204354,1,Hirnantian,Hirnantian,445.2,443.8,20,20,Discosorida,demersal,444.14
208256,1,Pragian,Pragian,410.8,407.6,30,30,Discosorida,demersal,411.455
208258,1,Pragian,Pragian,410.8,407.6,30,30,Discosorida,demersal,411.455
208259,1,Pragian,Pragian,410.8,407.6,30,30,Discosorida,demersal,411.455
208261,1,Pragian,Pragian,410.8,407.6,30,30,Discosorida,demersal,411.455
228659,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
232620,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
233158,4,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
233249,3,Famennian,Famennian,372.2,358.9,35,35,Discosorida,demersal,365.2
233409,3,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
441,1,Hirnantian,Hirnantian,445.2,443.8,20,20,Oncocerida,demersal,444.14
491,2,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
492,2,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
493,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
517,2,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
542,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
624,2,Early Givetian,Early Givetian,387.7,385.9,33,33,Oncocerida,demersal,382.1
3844,1,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
3845,2,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
3846,2,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
3849,1,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
4813,1,Late Emsian,Late Emsian,398.3,393.3,31,31,Oncocerida,demersal,402.405
5960,2,Early Famennian,Early Famennian,372.2,368.5,35,35,Oncocerida,demersal,365.2
6706,1,Ludfordian,Ludfordian,425.6,423,27,27,Oncocerida,demersal,423.87
6722,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
8421,3,Pendleian,Pendleian,330.9,327.4,38,38,Oncocerida,demersal,326.87
9613,1,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
9617,1,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
13603,3,Gorstian,Gorstian,427.4,425.6,26,26,Oncocerida,demersal,425.875
13631,1,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Oncocerida,demersal,431.775
13632,2,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Oncocerida,demersal,431.775
13633,4,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Oncocerida,demersal,431.775
13634,1,Homerian,Homerian,430.5,427.4,25,25,Oncocerida,demersal,428.68
13635,1,Homerian,Homerian,430.5,427.4,25,25,Oncocerida,demersal,428.68
13637,1,Ludfordian,Ludfordian,425.6,423,27,27,Oncocerida,demersal,423.87
13894,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
14037,1,Ludfordian,Ludfordian,425.6,423,27,27,Oncocerida,demersal,423.87
14039,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
14040,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
14073,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
14076,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
14080,2,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
14104,1,Gorstian,Gorstian,427.4,425.6,26,26,Oncocerida,demersal,425.875
24416,2,Aeronian,Aeronian,440.8,438.5,22,22,Oncocerida,demersal,439.54
24418,2,Aeronian,Aeronian,440.8,438.5,22,22,Oncocerida,demersal,439.54
24420,2,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
24423,2,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
24424,2,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
24435,2,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
24969,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
25015,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
26161,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Oncocerida,demersal,415.7
26166,1,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Oncocerida,demersal,431.775
26358,1,Gamachian,Gamachian,446,443.8,20,20,Oncocerida,demersal,444.14
27336,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
27737,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
27779,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
27908,5,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
38450,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
38451,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
38452,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
38453,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
38454,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
38455,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
38456,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
40697,2,Lochkovian,Lochkovian,419.2,410.8,29,29,Oncocerida,demersal,415.7
40711,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
49635,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
56880,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Oncocerida,demersal,415.7
69302,2,Kinderhookian,Kinderhookian,358.9,351.9,36,36,Oncocerida,demersal,353.015
70432,2,Ludfordian,Ludfordian,425.6,423,27,27,Oncocerida,demersal,423.87
70447,1,Early Emsian,Early Emsian,407.6,398.3,31,31,Oncocerida,demersal,402.405
75052,1,Elton,Elton,423,421.3,26,26,Oncocerida,demersal,425.875
76163,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
80318,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
80320,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
80662,2,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
82569,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
85024,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
87313,6,Porkuni,Porkuni,445.2,443.8,20,20,Oncocerida,demersal,444.14
89146,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
89885,1,Givetian,Givetian,387.7,382.7,33,33,Oncocerida,demersal,382.1
91457,2,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
91483,4,Lochkovian,Lochkovian,419.2,410.8,29,29,Oncocerida,demersal,415.7
91610,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Oncocerida,demersal,415.7
91611,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
91724,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
92076,1,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
92077,4,Eifelian,Eifelian,393.3,387.7,32,32,Oncocerida,demersal,389.8
101023,3,Hirnantian,Hirnantian,445.2,443.8,20,20,Oncocerida,demersal,444.14
102195,2,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
104660,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
104794,3,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
150334,1,Early Emsian,Early Emsian,407.6,398.3,31,31,Oncocerida,demersal,402.405
158598,1,Aeronian,Aeronian,440.8,438.5,22,22,Oncocerida,demersal,439.54
158604,1,Aeronian,Aeronian,440.8,438.5,22,22,Oncocerida,demersal,439.54
158608,2,Aeronian,Aeronian,440.8,438.5,22,22,Oncocerida,demersal,439.54
159986,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
159993,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
160006,1,Aeronian,Aeronian,440.8,438.5,22,22,Oncocerida,demersal,439.54
160009,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
160010,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
162352,1,Pendleian,Pendleian,330.9,327.4,38,38,Oncocerida,demersal,326.87
162361,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Oncocerida,demersal,326.87
172935,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
172945,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
184842,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
188988,1,Emsian,Emsian,407.6,393.3,31,31,Oncocerida,demersal,402.405
204136,1,Asselian,Asselian,298.9,293.52,43,43,Oncocerida,demersal,296.205
208258,1,Pragian,Pragian,410.8,407.6,30,30,Oncocerida,demersal,411.455
228657,1,Aeronian,Aeronian,440.8,438.5,22,22,Oncocerida,demersal,439.54
228658,1,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
228659,3,Telychian,Telychian,438.5,433.4,23,23,Oncocerida,demersal,435.76
228661,1,Ludfordian,Ludfordian,425.6,423,27,27,Oncocerida,demersal,423.87
228662,7,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
232620,3,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
233202,1,Emsian,Emsian,407.6,393.3,31,31,Oncocerida,demersal,402.405
233249,3,Famennian,Famennian,372.2,358.9,35,35,Oncocerida,demersal,365.2
233408,6,Ludfordian,Ludfordian,425.6,423,27,27,Oncocerida,demersal,423.87
233409,1,Pridoli,Pridoli,423,419.2,28,28,Oncocerida,demersal,420.865
175100,1,Missourian,Missourian,305.9,303.7,41,41,Ellesmerocerida,demersal,305.35
175101,1,Missourian,Missourian,305.9,303.7,41,41,Ellesmerocerida,demersal,305.35
184079,1,Desmoinesian,Desmoinesian,312.7,305.9,40,40,Ellesmerocerida,demersal,311.085
184098,1,Desmoinesian,Desmoinesian,312.7,305.9,40,40,Ellesmerocerida,demersal,311.085
184103,1,Missourian,Missourian,305.9,303.7,41,41,Ellesmerocerida,demersal,305.35
184105,1,Missourian,Missourian,305.9,303.7,41,41,Ellesmerocerida,demersal,305.35
5517,1,Serpukhovian,Serpukhovian,330.9,323.2,38,38,Actinocerida,demersal,326.87
5960,1,Early Famennian,Early Famennian,372.2,368.5,35,35,Actinocerida,demersal,365.2
5995,2,Asbian,Asbian,340.2,336.3,37,37,Actinocerida,demersal,338.535
6064,1,Asbian,Asbian,340.2,336.3,37,37,Actinocerida,demersal,338.535
14312,1,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Actinocerida,demersal,431.775
14317,1,Homerian,Homerian,430.5,427.4,25,25,Actinocerida,demersal,428.68
23251,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
24416,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
24418,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
24420,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
24423,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
24424,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
24435,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
25015,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
26359,1,Gamachian,Gamachian,446,443.8,20,20,Actinocerida,demersal,444.14
27792,4,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Actinocerida,demersal,431.775
27908,3,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
40697,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Actinocerida,demersal,415.7
49635,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
61143,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Actinocerida,demersal,415.7
61144,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Actinocerida,demersal,415.7
76328,1,Emsian,Emsian,407.6,393.3,31,31,Actinocerida,demersal,402.405
76329,1,Emsian,Emsian,407.6,393.3,31,31,Actinocerida,demersal,402.405
76330,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Actinocerida,demersal,415.7
82569,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
90767,1,Morrowan,Morrowan,323.2,318.4,39,39,Actinocerida,demersal,319.275
91611,1,Pragian,Pragian,410.8,407.6,30,30,Actinocerida,demersal,411.455
91747,1,Zlichovian,Zlichovian,407.6,393.3,31,31,Actinocerida,demersal,402.405
91749,1,Zlichovian,Zlichovian,407.6,393.3,31,31,Actinocerida,demersal,402.405
113368,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
157681,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
157689,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
157867,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
157881,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
157941,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
157943,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
157946,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
157954,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
158002,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
158012,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
158016,1,Brigantian,Brigantian,336.3,330.9,37,37,Actinocerida,demersal,338.535
158023,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
158032,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
158592,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
158747,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
158748,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
159915,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
159916,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
159917,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
159918,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
159919,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
159920,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
159922,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
159924,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
159925,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
159927,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
160001,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
160018,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
160019,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
160020,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
160021,1,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
160484,1,Brigantian,Brigantian,336.3,330.9,37,37,Actinocerida,demersal,338.535
160493,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160495,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160507,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160509,1,Brigantian,Brigantian,336.3,330.9,37,37,Actinocerida,demersal,338.535
160515,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
160540,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
160549,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160550,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160551,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160552,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160554,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160555,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160557,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
160558,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
160559,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
160561,1,Pendleian,Pendleian,330.9,327.4,38,38,Actinocerida,demersal,326.87
160562,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
184842,3,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
204332,1,Rhuddanian,Rhuddanian,443.8,440.8,21,21,Actinocerida,demersal,441.78
208258,1,Pragian,Pragian,410.8,407.6,30,30,Actinocerida,demersal,411.455
208259,1,Pragian,Pragian,410.8,407.6,30,30,Actinocerida,demersal,411.455
208261,1,Pragian,Pragian,410.8,407.6,30,30,Actinocerida,demersal,411.455
217081,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
217087,1,Arnsbergian,Arnsbergian,327.4,324,38,38,Actinocerida,demersal,326.87
228657,1,Aeronian,Aeronian,440.8,438.5,22,22,Actinocerida,demersal,439.54
228659,2,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
228660,1,Gorstian,Gorstian,427.4,425.6,26,26,Actinocerida,demersal,425.875
233158,4,Telychian,Telychian,438.5,433.4,23,23,Actinocerida,demersal,435.76
3339,1,Tournaisian,Tournaisian,358.9,346.7,36,36,Endocerida,demersal,353.015
159925,1,Aeronian,Aeronian,440.8,438.5,22,22,Endocerida,demersal,439.54
233158,2,Telychian,Telychian,438.5,433.4,23,23,Endocerida,demersal,435.76
233159,1,Aeronian,Aeronian,440.8,438.5,22,22,Endocerida,demersal,439.54
87126,1,Emsian,Emsian,407.6,393.3,31,31,Radiodonta,demersal,402.405
488,2,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
491,15,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
493,5,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
517,2,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
518,5,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
519,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
542,4,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
593,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
594,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
608,1,Emsian,Emsian,407.6,393.3,31,31,Eurypterida,demersal,402.405
5960,1,Early Famennian,Early Famennian,372.2,368.5,35,35,Eurypterida,demersal,365.2
8307,1,Ludfordian,Ludfordian,425.6,423,27,27,Eurypterida,demersal,423.87
10679,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
11112,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
11128,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
11142,1,Pragian,Pragian,410.8,407.6,30,30,Eurypterida,demersal,411.455
12068,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
12921,3,Telychian,Telychian,438.5,433.4,23,23,Eurypterida,demersal,435.76
13881,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
13883,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
13886,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
13887,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
13891,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
13894,7,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
13895,5,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
13897,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
14039,2,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
14040,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
14043,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
14080,2,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
14121,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
14131,5,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
14200,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
14201,1,Lochkovian,Lochkovian,419.2,410.8,29,29,Eurypterida,demersal,415.7
14207,5,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
14224,1,Famennian,Famennian,372.2,358.9,35,35,Eurypterida,demersal,365.2
14266,5,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Eurypterida,demersal,431.775
14308,6,Rootsikula,Rootsikula,429.2,427.4,25,25,Eurypterida,demersal,428.68
20664,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
20814,1,Famennian,Famennian,372.2,358.9,35,35,Eurypterida,demersal,365.2
21202,1,Tournaisian,Tournaisian,358.9,346.7,36,36,Eurypterida,demersal,353.015
23021,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
23029,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
26079,2,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
26085,3,Ludfordian,Ludfordian,425.6,423,27,27,Eurypterida,demersal,423.87
26086,5,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
26087,6,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
26088,1,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
26089,9,Pridoli,Pridoli,423,419.2,28,28,Eurypterida,demersal,420.865
26111,1,Telychian,Telychian,438.5,433.4,23,23,Eurypterida,demersal,435.76
26176,3,Emsian,Emsian,407.6,393.3,31,31,Eurypterida,demersal,402.405
